Partido;Goles_Arg;Goles_Bar;Ter_Stegen;Jordi_Alba;Pique;Lenglet;Sergi_Roberto;Messi;Vidal;De_Jong;Dembele;Suarez;Griezmann;Romero;Saravia;Otamendi;Musacchio;Acuna;Pavon;Mascherano;Veron;Cervi;Maradona;Agüero
1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0
4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
